Sample_Type,Trip_Number,Hormone,min_Control,median_Control,Q3_Control,max_Control,min_Treated,median_Treated,Q3_Treated,max_Treated
171,1,GA7,3.47,3.935,4.15,4.27,0.55,3.0149999999999997,3.1075,3.37
171,2,GA7,1.5,1.78,1.975,1.99,2.36,2.855,3.325,4.0
171,3,GA7,0.46,0.835,1.1325,1.77,2.81,6.005,14.04,29.37
171,4,GA7,0.61,1.2999999999999998,1.8624999999999998,2.5,1.07,4.03,6.23,7.82
402,1,GA7,1.85,2.395,2.6725,3.49,1.74,3.0949999999999998,3.3325,3.34
402,2,GA7,1.34,2.015,2.6950000000000003,4.54,1.16,1.725,1.985,2.36
402,3,GA7,1.71,1.795,1.895,2.09,1.57,7.515,47.5175,163.01
402,4,GA7,1.0,2.3,3.005,3.65,0.92,1.745,2.355,3.12
609,1,GA7,2.81,3.17,3.5675,4.49,2.85,4.84,6.855,9.6
609,2,GA7,0.81,1.815,2.1,2.73,2.31,3.0300000000000002,4.28,5.96
609,3,GA7,0.72,1.19,1.295,1.4,5.12,7.904999999999999,10.81,19.21
609,4,GA7,0.35,0.55,0.9500000000000001,1.35,0.33,2.82,4.9825,5.89
680,1,GA7,1.56,1.72,2.0825,3.08,0.77,2.0149999999999997,2.4225,2.67
680,2,GA7,1.09,1.985,2.5250000000000004,2.93,0.49,1.25,1.8575,3.17
680,3,GA7,1.53,2.09,2.9775,5.61,0.86,14.38,28.4575,31.18
680,4,GA7,0.83,1.075,1.4675,2.18,1.08,4.82,8.5625,10.55
698,1,GA7,0.4,1.21,1.3125,1.41,1.27,1.3450000000000002,1.57,2.2
698,2,GA7,1.15,1.5,1.9575,2.85,1.09,1.96,2.045,2.27
698,3,GA7,0.36,0.5249999999999999,0.755,1.31,1.84,5.515000000000001,62.8575,230.22
698,4,GA7,1.53,3.235,3.4924999999999997,4.01,0.47,12.614999999999998,29.5775,57.65
703,1,GA7,0.75,2.0949999999999998,2.65,3.04,1.71,1.9300000000000002,2.42,3.44
703,2,GA7,1.47,2.92,3.285,3.93,2.52,3.415,3.56,3.83
703,3,GA7,0.61,1.115,1.285,1.66,0.65,4.145,5.7075,6.9
703,4,GA7,0.25,0.405,0.645,0.93,0.67,1.31,5.452500000000001,17.85
735,1,GA7,0.26,1.155,1.4675,1.49,0.34,0.685,0.9225,1.47
735,2,GA7,0.73,0.84,0.8825,0.95,0.79,1.385,1.56,1.71
735,3,GA7,0.32,0.64,0.8025,0.87,3.23,46.425,104.9275,170.29
735,4,GA7,1.66,2.0999999999999996,2.1825,2.22,4.09,7.875,12.7575,23.07
887,1,GA7,0.37,0.45999999999999996,0.5175,0.57,1.8,2.58,3.6275,4.7
887,2,GA7,0.57,0.835,0.98,1.1,0.49,1.77,2.1275,2.69
887,3,GA7,0.4,0.845,0.9375,1.11,9.94,31.005,41.1525,54.03
887,4,GA7,1.16,3.65,4.015,4.54,23.65,93.52000000000001,113.2225,165.7
35,1,GA3,50.085,53.7055,57.630250000000004,66.397,35.661,45.1065,48.98825,58.685
35,2,GA3,43.82,67.586,81.19175000000001,81.299,59.004,65.71600000000001,73.87725,92.481
35,3,GA3,103.707,107.322,109.4795,111.104,88.317,92.5625,93.35475,94.104
35,4,GA3,8.17,13.567,16.52875,18.526,3.143,4.8405000000000005,6.118,7.117
171,1,GA3,66.546,79.0015,80.2935,82.818,61.786,78.08250000000001,81.4,84.373
171,2,GA3,72.245,74.20400000000001,78.64775,86.516,61.558,74.279,77.82275,86.543
171,3,GA3,52.853,79.2135,83.646,94.122,43.698,75.5065,82.43525,95.714
171,4,GA3,37.58,44.3675,48.705,50.676,39.545,44.524,46.5575,50.0
402,1,GA3,61.841,66.527,73.93625,85.379,63.655,73.726,78.21525,85.944
402,2,GA3,45.702,51.459999999999994,54.823,62.008,61.614,66.94550000000001,68.44300000000001,68.59
402,3,GA3,72.231,85.3355,90.82675,92.983,32.381,60.7465,80.389,97.042
402,4,GA3,34.797,45.819,52.2315,53.667,25.505,42.0045,44.73425,48.071
609,1,GA3,53.392,58.314499999999995,59.78625,61.779,54.348,58.1215,63.27625,71.485
609,2,GA3,62.54,69.7815,76.70325,94.305,58.121,72.39750000000001,82.38925,88.798
609,3,GA3,63.553,84.0835,103.7465,107.63,85.654,89.271,96.71025,112.023
609,4,GA3,12.054,14.134,16.54975,18.835,11.819,14.595,15.882000000000001,16.05
680,1,GA3,102.578,107.25800000000001,113.4865,118.642,88.542,106.1285,111.9375,116.463
680,2,GA3,81.472,92.43350000000001,96.81825,109.764,52.42,78.02699999999999,93.53399999999999,134.568
680,3,GA3,71.51,116.1055,156.28725,163.368,161.953,169.63299999999998,180.43075,190.168
680,4,GA3,77.882,94.7565,115.91,133.976,46.566,83.92750000000001,94.23475,110.116
698,1,GA3,41.126,93.02250000000001,105.6695,108.281,31.675,65.64099999999999,83.72449999999999,92.366
698,2,GA3,61.728,73.8315,76.93925,77.765,47.991,55.939499999999995,63.3515,69.527
698,3,GA3,69.345,93.95,96.315,100.677,56.441,79.99199999999999,93.31475,97.424
698,4,GA3,47.57,57.5675,64.68375,68.751,53.113,59.7635,65.8665,67.323
703,1,GA3,9.816,35.111000000000004,39.51975,51.597,38.788,47.9775,49.647,50.706
703,2,GA3,35.213,42.3515,46.9535,58.583,43.961,54.24,58.10275,63.526
703,3,GA3,53.989,69.55799999999999,81.62925,86.403,37.182,55.0975,61.35725,71.087
703,4,GA3,18.953,22.125,22.98375,23.7,12.17,14.5295,17.584,20.8
735,1,GA3,64.283,70.2345,74.818,88.291,28.272,57.019499999999994,61.96975,68.149
735,2,GA3,46.771,51.6915,57.38625,70.341,45.698,51.965500000000006,62.041000000000004,74.899
735,3,GA3,52.859,68.199,81.32775,91.107,66.394,81.7025,82.55475000000001,82.599
735,4,GA3,58.658,86.1765,96.66375,104.265,38.659,47.335499999999996,56.4125,58.565
887,1,GA3,16.559,18.3675,23.86775,38.549,22.218,36.3985,38.376,40.464
887,2,GA3,11.971,16.753500000000003,21.993000000000002,27.846,21.598,29.755,34.35575,42.95
887,3,GA3,45.178,66.559,82.22075,96.626,57.14,63.429500000000004,71.10325,84.289
887,4,GA3,31.829,71.5135,75.61425,81.384,85.024,99.101,117.2485,132.031
35,1,GA5,3.46,4.77,5.435,5.45,5.46,7.1899999999999995,9.17,10.07
35,2,GA5,11.56,13.15,14.129999999999999,15.03,10.57,11.415,12.5325,13.38
35,3,GA5,9.56,15.985,18.974999999999998,26.22,10.26,15.254999999999999,20.675,23.24
