GA4;
K4 - 680 ;48.75
K4 - 698 ;34.25
K4 - 703 ;42.41
K4 - 735 ;68.62
K4 - 887 ;161.63
GA1 - 171 ;55.71
GA1 - 35 ;117.5
GA1 - 402 ;59.7
GA1 - 609 ;202.77
GA1 - 680 ;137.24
GA1 - 698 ;51.59
GA1 - 703 ;74.15
GA1 - 735 ;49.99
GA1 - 887 ;60.47
GA2 - 171 ;48.82
GA2 - 35 ;132.93
GA2 - 402 ;26.99
GA2 - 609 ;181.65
GA2 - 680 ;230.35
GA2 - 698 ;42.29
GA2 - 703 ;40.36
GA2 - 735 ;74.25
GA2 - 887 ;114.14
GA3 - 171 ;50.95
GA3 - 35 ;262.5
GA3 - 402 ;92.8
GA3 - 609 ;203.1
GA3 - 680 ;231.82
GA3 - 698 ;46.69
GA3 - 703 ;103.72
GA3 - 735 ;33.75
GA3 - 887 ;128.46
GA4 - 171 ;48.06
GA4 - 35 ;250.89
GA4 - 402 ;146.98
GA4 - 609 ;208.06
GA4 - 680 ;135.13
GA4 - 698 ;39.1
GA4 - 703 ;68.36
GA4 - 735 ;38.84
GA4 - 887 ;64.99
K1 - 171 ;56.26
K1 - 35 ;80.98
K1 - 402 ;42.94
K1 - 609 ;195.24
K1 - 680 ;127.41
K1 - 698 ;36.16
K1 - 703 ;75.07
K1 - 735 ;47.52
K1 - 887 ;293.08
K2 - 171 ;59.46
K2 - 35 ;236.99
K2 - 402 ;65.3
K2 - 609 ;172.91
K2 - 680 ;188.92
K2 - 698 ;63.8
K2 - 703 ;59.99
K2 - 735 ;35.03
K2 - 887 ;89.96
K3 - 171 ;167.93
K3 - 35 ;211.41
K3 - 402 ;52.97
K3 - 609 ;95.34
K3 - 680 ;308.23
K3 - 698 ;52.33
K3 - 703 ;56.63
K3 - 735 ;38.05
K3 - 887 ;107.86
K4 - 171 ;65.01
K4 - 35 ;194.88
K4 - 402 ;46.71
K4 - 609 ;248.99
K4 - 680 ;164.17
K4 - 698 ;55.2
K4 - 703 ;50.1
K4 - 735 ;77.31
K4 - 887 ;156.09
;
DHZ;
GA1 - 171 ;0.1
GA1 - 35 ;0.15
GA1 - 402 ;0.07
GA1 - 609 ;0.06
GA1 - 680 ;0.06
GA1 - 698 ;0.09
GA1 - 703 ;0.08
GA1 - 735 ;0.05
GA1 - 887 ;0.11
GA2 - 171 ;0.07
GA2 - 35 ;0.13
GA2 - 402 ;0.09
GA2 - 609 ;0.17
GA2 - 680 ;0.09
GA2 - 698 ;0.14
GA2 - 703 ;0.1
GA2 - 735 ;0.07
GA2 - 887 ;0.12
GA3 - 171 ;0.1
GA3 - 35 ;0.1
GA3 - 402 ;0.14
GA3 - 609 ;0.08
GA3 - 680 ;0.08
GA3 - 698 ;0.13
GA3 - 703 ;0.08
GA3 - 735 ;0.08
GA3 - 887 ;0.09
GA4 - 171 ;0.08
GA4 - 35 ;0.15
GA4 - 402 ;0.09
GA4 - 609 ;0.07
GA4 - 680 ;0.08
GA4 - 698 ;0.09
GA4 - 703 ;0.06
GA4 - 735 ;0.08
GA4 - 887 ;0.11
K1 - 171 ;0.1
K1 - 35 ;0.13
K1 - 402 ;0.13
K1 - 609 ;0.08
K1 - 680 ;0.11
K1 - 698 ;0.1
K1 - 703 ;0.08
K1 - 735 ;0.04
K1 - 887 ;0.09
K2 - 171 ;0.08
K2 - 35 ;0.14
K2 - 402 ;0.13
K2 - 609 ;0.12
K2 - 680 ;0.09
K2 - 698 ;0.12
K2 - 703 ;0.07
K2 - 735 ;0.06
K2 - 887 ;0.16
K3 - 171 ;0.07
K3 - 35 ;0.14
K3 - 402 ;0.12
K3 - 609 ;0.1
K3 - 680 ;0.13
K3 - 698 ;0.11
K3 - 703 ;0.09
K3 - 735 ;0.08
K3 - 887 ;0.06
K4 - 171 ;0.09
K4 - 35 ;0.07
K4 - 402 ;0.08
K4 - 609 ;0.08
K4 - 680 ;0.07
K4 - 698 ;0.1
K4 - 703 ;0.09
K4 - 735 ;0.04
K4 - 887 ;0.14
GA1 - 171 ;0.12
GA1 - 35 ;0.14
GA1 - 402 ;0.14
GA1 - 609 ;0.18
GA1 - 680 ;0.16
GA1 - 698 ;0.16
GA1 - 703 ;0.05
GA1 - 735 ;0.06
GA1 - 887 ;0.11
GA2 - 171 ;0.15
GA2 - 35 ;0.19
GA2 - 402 ;0.13
GA2 - 609 ;0.22
GA2 - 680 ;0.2
GA2 - 698 ;0.14
GA2 - 703 ;0.14
GA2 - 735 ;0.09
GA2 - 887 ;0.14
GA3 - 171 ;0.14
GA3 - 35 ;0.15
GA3 - 402 ;0.16
GA3 - 609 ;0.11
GA3 - 680 ;0.12
GA3 - 698 ;0.16
GA3 - 703 ;0.13
GA3 - 735 ;0.05
GA3 - 887 ;0.18
GA4 - 171 ;0.38
GA4 - 35 ;0.17
GA4 - 402 ;0.12
GA4 - 609 ;0.19
GA4 - 680 ;0.12
GA4 - 698 ;0.2
GA4 - 703 ;0.13
GA4 - 735 ;0.07
GA4 - 887 ;0.15
K1 - 171 ;0.18
K1 - 35 ;0.18
K1 - 402 ;0.11
K1 - 609 ;0.12
K1 - 680 ;0.24
K1 - 698 ;0.11
K1 - 703 ;0.12
K1 - 735 ;0.06
K1 - 887 ;0.1
K2 - 171 ;0.15
K2 - 35 ;0.14
K2 - 402 ;0.1
K2 - 609 ;0.25
K2 - 680 ;0.14
K2 - 698 ;0.21
K2 - 703 ;0.14
K2 - 735 ;0.08
K2 - 887 ;0.13
K3 - 171 ;0.15
K3 - 35 ;0.15
K3 - 402 ;0.18
K3 - 609 ;0.18
K3 - 680 ;0.14
K3 - 698 ;0.14
K3 - 703 ;0.15
K3 - 735 ;0.05
K3 - 887 ;0.09
K4 - 171 ;0.16
K4 - 35 ;0.14
K4 - 402 ;0.13
K4 - 609 ;0.18
K4 - 680 ;0.19
K4 - 698 ;0.19
K4 - 703 ;0.13
K4 - 735 ;0.09
K4 - 887 ;0.12
GA1 - 171 ;0.14
GA1 - 35 ;0.16
GA1 - 402 ;0.09
GA1 - 609 ;0.18
GA1 - 680 ;0.19
GA1 - 698 ;0.17
GA1 - 703 ;0.13
GA1 - 735 ;0.14
GA1 - 887 ;0.12
GA2 - 171 ;0.15
GA2 - 35 ;0.19
GA2 - 402 ;0.11
GA2 - 609 ;0.26
GA2 - 680 ;0.17
GA2 - 698 ;0.2
GA2 - 703 ;0.2
GA2 - 735 ;0.13
GA2 - 887 ;0.13
GA3 - 171 ;0.16
GA3 - 35 ;0.23
GA3 - 402 ;0.14
GA3 - 609 ;0.25
GA3 - 680 ;0.24
GA3 - 698 ;0.24
GA3 - 703 ;0.13
GA3 - 735 ;0.11
GA3 - 887 ;0.16
GA4 - 171 ;0.19
GA4 - 35 ;0.31
GA4 - 402 ;0.21
GA4 - 609 ;0.26
GA4 - 680 ;0.2
GA4 - 698 ;0.2
GA4 - 703 ;0.16
GA4 - 735 ;0.14
GA4 - 887 ;0.17
K1 - 171 ;0.19
K1 - 35 ;0.19
K1 - 402 ;0.17
K1 - 609 ;0.22
K1 - 680 ;0.21
K1 - 698 ;0.28
K1 - 703 ;0.14
K1 - 735 ;0.14
K1 - 887 ;0.12
K2 - 171 ;0.15
K2 - 35 ;0.22
K2 - 402 ;0.14
K2 - 609 ;0.25
K2 - 680 ;0.21
K2 - 698 ;0.17
K2 - 703 ;0.11
K2 - 735 ;0.13
K2 - 887 ;0.13
K3 - 171 ;0.15
K3 - 35 ;0.15
K3 - 402 ;0.17
K3 - 609 ;0.2
K3 - 680 ;0.17
K3 - 698 ;0.16
K3 - 703 ;0.13
K3 - 735 ;0.15
K3 - 887 ;0.13
K4 - 171 ;0.18
K4 - 35 ;0.15
K4 - 402 ;0.17
K4 - 609 ;0.23
K4 - 680 ;0.2
K4 - 698 ;0.21
K4 - 703 ;0.14
K4 - 735 ;0.1
K4 - 887 ;0.15
GA1 - 171 ;0.22
GA1 - 35 ;0.26
GA1 - 402 ;0.25
GA1 - 609 ;0.24
GA1 - 680 ;0.24
GA1 - 698 ;0.23
GA1 - 703 ;0.27
GA1 - 735 ;0.18
GA1 - 887 ;0.17
GA2 - 171 ;0.19
GA2 - 35 ;0.34
GA2 - 402 ;0.12
GA2 - 609 ;0.35
GA2 - 680 ;0.35
GA2 - 698 ;0.52
GA2 - 703 ;0.27
GA2 - 735 ;0.24
GA2 - 887 ;0.24
GA3 - 171 ;0.21
GA3 - 35 ;0.32
GA3 - 402 ;0.27
GA3 - 609 ;0.25
GA3 - 680 ;0.34
GA3 - 698 ;0.34
GA3 - 703 ;0.3
GA3 - 735 ;0.29
GA3 - 887 ;0.26
GA4 - 171 ;0.16
GA4 - 35 ;0.31
GA4 - 402 ;0.28
GA4 - 609 ;0.34
GA4 - 680 ;0.25
GA4 - 698 ;0.35
GA4 - 703 ;0.2
GA4 - 735 ;0.18
GA4 - 887 ;0.24
K1 - 171 ;0.17
K1 - 35 ;0.25
K1 - 402 ;0.2
K1 - 609 ;0.31
K1 - 680 ;0.31
K1 - 698 ;0.31
K1 - 703 ;0.2
K1 - 735 ;0.32
K1 - 887 ;0.2
K2 - 171 ;0.14
K2 - 35 ;0.3
K2 - 402 ;0.16
K2 - 609 ;0.34
K2 - 680 ;0.23
K2 - 698 ;0.44
K2 - 703 ;0.25
K2 - 735 ;0.24
K2 - 887 ;0.24
K3 - 171 ;0.19
K3 - 35 ;0.27
K3 - 402 ;0.23
K3 - 609 ;0.18
K3 - 680 ;0.19
K3 - 698 ;0.21
K3 - 703 ;0.25
K3 - 735 ;0.25
K3 - 887 ;0.19
K4 - 171 ;0.18
K4 - 35 ;0.27
K4 - 402 ;0.21
K4 - 609 ;0.31
K4 - 680 ;0.2
K4 - 698 ;0.29
K4 - 703 ;0.24
K4 - 735 ;0.22
K4 - 887 ;0.2
;
iP;
GA1 - 171 ;0.01
GA1 - 35 ;0.01
GA1 - 402 ;0.01
GA1 - 609 ;0.01
GA1 - 680 ;0.01
GA1 - 698 ;0.01
GA1 - 703 ;0.01
GA1 - 735 ;0.01
GA1 - 887 ;0.01
GA2 - 171 ;0.01
GA2 - 35 ;0.01
GA2 - 402 ;0.0
GA2 - 609 ;0.01
GA2 - 680 ;0.01
GA2 - 698 ;0.01
GA2 - 703 ;0.01
GA2 - 735 ;0.01
GA2 - 887 ;0.02
GA3 - 171 ;0.01
GA3 - 35 ;0.01
GA3 - 402 ;0.01
GA3 - 609 ;0.01
GA3 - 680 ;0.01
GA3 - 698 ;0.01
GA3 - 703 ;0.01
GA3 - 735 ;0.01
GA3 - 887 ;0.01
GA4 - 171 ;0.01
GA4 - 35 ;0.02
GA4 - 402 ;0.01
GA4 - 609 ;0.01
GA4 - 680 ;0.01
GA4 - 698 ;0.01
GA4 - 703 ;0.01
GA4 - 735 ;0.01
GA4 - 887 ;0.01
K1 - 171 ;0.01
K1 - 35 ;0.02
K1 - 402 ;0.01
K1 - 609 ;0.01
K1 - 680 ;0.01
K1 - 698 ;0.01
K1 - 703 ;0.01
K1 - 735 ;0.01
K1 - 887 ;0.02
K2 - 171 ;0.01
K2 - 35 ;0.01
K2 - 402 ;0.01
K2 - 609 ;0.01
K2 - 680 ;0.01
K2 - 698 ;0.01
K2 - 703 ;0.01
K2 - 735 ;0.01
K2 - 887 ;0.02
K3 - 171 ;0.02
K3 - 35 ;0.01
K3 - 402 ;0.01
K3 - 609 ;0.01
K3 - 680 ;0.01
K3 - 698 ;0.01
K3 - 703 ;0.01
K3 - 735 ;0.01
K3 - 887 ;0.01
K4 - 171 ;0.01
K4 - 35 ;0.01
K4 - 402 ;0.01
K4 - 609 ;0.01
K4 - 680 ;0.01
K4 - 698 ;0.01
K4 - 703 ;0.01
K4 - 735 ;0.01
K4 - 887 ;0.02
GA1 - 171 ;0.01
GA1 - 35 ;0.01
GA1 - 402 ;0.01
GA1 - 609 ;0.01
GA1 - 680 ;0.01
GA1 - 698 ;0.01
GA1 - 703 ;0.0
GA1 - 735 ;0.01
GA1 - 887 ;0.01
GA2 - 171 ;0.01
GA2 - 35 ;0.01
GA2 - 402 ;0.01
GA2 - 609 ;0.01
GA2 - 680 ;0.01
GA2 - 698 ;0.01
GA2 - 703 ;0.01
GA2 - 735 ;0.01
GA2 - 887 ;0.01
GA3 - 171 ;0.02
GA3 - 35 ;0.01
GA3 - 402 ;0.01
GA3 - 609 ;0.01
GA3 - 680 ;0.01
GA3 - 698 ;0.01
GA3 - 703 ;0.01
GA3 - 735 ;0.01
GA3 - 887 ;0.01
GA4 - 171 ;0.02
GA4 - 35 ;0.01
GA4 - 402 ;0.01
GA4 - 609 ;0.01
GA4 - 680 ;0.01
GA4 - 698 ;0.01
GA4 - 703 ;0.0
GA4 - 735 ;0.01
GA4 - 887 ;0.01
K1 - 171 ;0.01
K1 - 35 ;0.01
K1 - 402 ;0.01
K1 - 609 ;0.01
K1 - 680 ;0.01
K1 - 698 ;0.01
K1 - 703 ;0.01
K1 - 735 ;0.01
K1 - 887 ;0.01
K2 - 171 ;0.01
K2 - 35 ;0.01
K2 - 402 ;0.01
K2 - 609 ;0.01
K2 - 680 ;0.01
K2 - 698 ;0.01
K2 - 703 ;0.01
K2 - 735 ;0.01
K2 - 887 ;0.01
K3 - 171 ;0.01
K3 - 35 ;0.01
K3 - 402 ;0.01
K3 - 609 ;0.01
K3 - 680 ;0.01
K3 - 698 ;0.01
K3 - 703 ;0.0
K3 - 735 ;0.01
K3 - 887 ;0.01
K4 - 171 ;0.01
K4 - 35 ;0.01
K4 - 402 ;0.01
K4 - 609 ;0.01
K4 - 680 ;0.01
K4 - 698 ;0.01
K4 - 703 ;0.01
K4 - 735 ;0.01
K4 - 887 ;0.01
GA1 - 171 ;0.02
GA1 - 35 ;0.02
GA1 - 402 ;0.01
GA1 - 609 ;0.02
GA1 - 680 ;0.02
GA1 - 698 ;0.01
GA1 - 703 ;0.01
GA1 - 735 ;0.01
GA1 - 887 ;0.01
GA2 - 171 ;0.02
GA2 - 35 ;0.02
GA2 - 402 ;0.01
GA2 - 609 ;0.01
GA2 - 680 ;0.02
GA2 - 698 ;0.01
GA2 - 703 ;0.01
GA2 - 735 ;0.01
GA2 - 887 ;0.01
GA3 - 171 ;0.01
GA3 - 35 ;0.02
GA3 - 402 ;0.01
GA3 - 609 ;0.02
GA3 - 680 ;0.03
GA3 - 698 ;0.01
GA3 - 703 ;0.01
GA3 - 735 ;0.01
GA3 - 887 ;0.02
GA4 - 171 ;0.02
GA4 - 35 ;0.03
GA4 - 402 ;0.01
GA4 - 609 ;0.02
GA4 - 680 ;0.02
GA4 - 698 ;0.01
GA4 - 703 ;0.01
GA4 - 735 ;0.01
GA4 - 887 ;0.02
K1 - 171 ;0.02
K1 - 35 ;0.02
K1 - 402 ;0.01
K1 - 609 ;0.02
K1 - 680 ;0.02
K1 - 698 ;0.01
K1 - 703 ;0.01
K1 - 735 ;0.01
K1 - 887 ;0.01
K2 - 171 ;0.01
K2 - 35 ;0.03
K2 - 402 ;0.01
K2 - 609 ;0.01
K2 - 680 ;0.02
K2 - 698 ;0.01
K2 - 703 ;0.01
K2 - 735 ;0.02
K2 - 887 ;0.01
K3 - 171 ;0.03
K3 - 35 ;0.02
K3 - 402 ;0.01
K3 - 609 ;0.01
K3 - 680 ;0.01
K3 - 698 ;0.01
K3 - 703 ;0.01
K3 - 735 ;0.01
K3 - 887 ;0.01
K4 - 171 ;0.02
K4 - 35 ;0.02
K4 - 402 ;0.01
K4 - 609 ;0.02
K4 - 680 ;0.02
K4 - 698 ;0.01
K4 - 703 ;0.01
K4 - 735 ;0.01
K4 - 887 ;0.01
GA1 - 171 ;0.04
GA1 - 35 ;0.03
GA1 - 402 ;0.02
GA1 - 609 ;0.04
GA1 - 680 ;0.03
GA1 - 698 ;0.01
GA1 - 703 ;0.02
GA1 - 735 ;0.02
GA1 - 887 ;0.03
GA2 - 171 ;0.04
GA2 - 35 ;0.05
GA2 - 402 ;0.01
GA2 - 609 ;0.03
GA2 - 680 ;0.05
GA2 - 698 ;0.03
GA2 - 703 ;0.02
GA2 - 735 ;0.03
GA2 - 887 ;0.05
GA3 - 171 ;0.04
GA3 - 35 ;0.08
GA3 - 402 ;0.01
GA3 - 609 ;0.04
GA3 - 680 ;0.04
GA3 - 698 ;0.02
GA3 - 703 ;0.05
GA3 - 735 ;0.01
GA3 - 887 ;0.03
GA4 - 171 ;0.04
GA4 - 35 ;0.08
GA4 - 402 ;0.02
GA4 - 609 ;0.04
GA4 - 680 ;0.05
GA4 - 698 ;0.02
GA4 - 703 ;0.02
GA4 - 735 ;0.03
GA4 - 887 ;0.04
K1 - 171 ;0.04
K1 - 35 ;0.05
K1 - 402 ;0.03
K1 - 609 ;0.04
K1 - 680 ;0.03
K1 - 698 ;0.01
K1 - 703 ;0.02
K1 - 735 ;0.02
K1 - 887 ;0.02
K2 - 171 ;0.04
K2 - 35 ;0.07
K2 - 402 ;0.01
K2 - 609 ;0.02
K2 - 680 ;0.04
K2 - 698 ;0.02
K2 - 703 ;0.01
K2 - 735 ;0.03
K2 - 887 ;0.03
K3 - 171 ;0.03
K3 - 35 ;0.04
K3 - 402 ;0.03
K3 - 609 ;0.02
K3 - 680 ;0.03
K3 - 698 ;0.01
K3 - 703 ;0.02
K3 - 735 ;0.03
K3 - 887 ;0.02
K4 - 171 ;0.04
K4 - 35 ;0.05
K4 - 402 ;0.01
K4 - 609 ;0.03
K4 - 680 ;0.05
K4 - 698 ;0.02
K4 - 703 ;0.02
K4 - 735 ;0.02
K4 - 887 ;0.03
;
tZ;
GA1 - 171 ;0.06
GA1 - 35 ;0.07
GA1 - 402 ;0.02
GA1 - 609 ;0.02
GA1 - 680 ;0.03
GA1 - 698 ;0.07
GA1 - 703 ;0.03
GA1 - 735 ;0.02
GA1 - 887 ;0.04
GA2 - 171 ;0.03
GA2 - 35 ;0.06
GA2 - 402 ;0.03
GA2 - 609 ;0.03
GA2 - 680 ;0.05
GA2 - 698 ;0.05
GA2 - 703 ;0.02
GA2 - 735 ;0.03
GA2 - 887 ;0.06
GA3 - 171 ;0.05
GA3 - 35 ;0.04
GA3 - 402 ;0.04
GA3 - 609 ;0.03
GA3 - 680 ;0.06
GA3 - 698 ;0.08
GA3 - 703 ;0.04
GA3 - 735 ;0.02
GA3 - 887 ;0.04
GA4 - 171 ;0.04
GA4 - 35 ;0.06
GA4 - 402 ;0.03
GA4 - 609 ;0.02
GA4 - 680 ;0.03
GA4 - 698 ;0.04
GA4 - 703 ;0.03
GA4 - 735 ;0.03
GA4 - 887 ;0.03
K1 - 171 ;0.05
K1 - 35 ;0.03
K1 - 402 ;0.05
K1 - 609 ;0.03
K1 - 680 ;0.05
K1 - 698 ;0.03
K1 - 703 ;0.03
K1 - 735 ;0.02
K1 - 887 ;0.03
K2 - 171 ;0.04
K2 - 35 ;0.03
K2 - 402 ;0.05
K2 - 609 ;0.03
K2 - 680 ;0.05
K2 - 698 ;0.04
K2 - 703 ;0.03
K2 - 735 ;0.03
K2 - 887 ;0.06
K3 - 171 ;0.02
K3 - 35 ;0.04
K3 - 402 ;0.04
K3 - 609 ;0.02
K3 - 680 ;0.06
K3 - 698 ;0.04
K3 - 703 ;0.04
K3 - 735 ;0.03
K3 - 887 ;0.04
K4 - 171 ;0.04
K4 - 35 ;0.03
K4 - 402 ;0.03
K4 - 609 ;0.03
K4 - 680 ;0.03
K4 - 698 ;0.06
K4 - 703 ;0.05
K4 - 735 ;0.01
K4 - 887 ;0.06
GA1 - 171 ;0.05
GA1 - 35 ;0.03
GA1 - 402 ;0.04
GA1 - 609 ;0.04
GA1 - 680 ;0.03
GA1 - 698 ;0.08
GA1 - 703 ;0.01
GA1 - 735 ;0.02
GA1 - 887 ;0.03
GA2 - 171 ;0.04
GA2 - 35 ;0.05
GA2 - 402 ;0.03
GA2 - 609 ;0.04
GA2 - 680 ;0.04
GA2 - 698 ;0.04
GA2 - 703 ;0.03
GA2 - 735 ;0.02
GA2 - 887 ;0.04
GA3 - 171 ;0.03
GA3 - 35 ;0.03
GA3 - 402 ;0.04
GA3 - 609 ;0.02
GA3 - 680 ;0.04
GA3 - 698 ;0.06
GA3 - 703 ;0.03
GA3 - 735 ;0.02
GA3 - 887 ;0.06
GA4 - 171 ;0.11
GA4 - 35 ;0.03
GA4 - 402 ;0.03
GA4 - 609 ;0.04
GA4 - 680 ;0.03
GA4 - 698 ;0.06
GA4 - 703 ;0.03
GA4 - 735 ;0.03
GA4 - 887 ;0.03
K1 - 171 ;0.03
K1 - 35 ;0.05
K1 - 402 ;0.02
K1 - 609 ;0.03
K1 - 680 ;0.03
K1 - 698 ;0.04
K1 - 703 ;0.03
K1 - 735 ;0.02
K1 - 887 ;0.03
K2 - 171 ;0.04
K2 - 35 ;0.03
K2 - 402 ;0.02
K2 - 609 ;0.05
K2 - 680 ;0.03
K2 - 698 ;0.08
K2 - 703 ;0.04
K2 - 735 ;0.03
K2 - 887 ;0.03
K3 - 171 ;0.02
K3 - 35 ;0.05
K3 - 402 ;0.04
K3 - 609 ;0.04
K3 - 680 ;0.03
K3 - 698 ;0.03
K3 - 703 ;0.05
K3 - 735 ;0.02
K3 - 887 ;0.02
K4 - 171 ;0.04
K4 - 35 ;0.03
K4 - 402 ;0.03
K4 - 609 ;0.03
K4 - 680 ;0.04
K4 - 698 ;0.06
K4 - 703 ;0.04
K4 - 735 ;0.02
K4 - 887 ;0.03
GA1 - 171 ;0.03
GA1 - 35 ;0.04
GA1 - 402 ;0.02
GA1 - 609 ;0.03
GA1 - 680 ;0.03
GA1 - 698 ;0.08
GA1 - 703 ;0.04
GA1 - 735 ;0.03
GA1 - 887 ;0.02
GA2 - 171 ;0.04
GA2 - 35 ;0.06
GA2 - 402 ;0.03
GA2 - 609 ;0.05
GA2 - 680 ;0.03
GA2 - 698 ;0.06
GA2 - 703 ;0.04
GA2 - 735 ;0.03
GA2 - 887 ;0.03
GA3 - 171 ;0.05
GA3 - 35 ;0.05
GA3 - 402 ;0.04
GA3 - 609 ;0.03
GA3 - 680 ;0.04
GA3 - 698 ;0.05
GA3 - 703 ;0.04
GA3 - 735 ;0.03
GA3 - 887 ;0.03
GA4 - 171 ;0.05
GA4 - 35 ;0.05
GA4 - 402 ;0.04
GA4 - 609 ;0.04
GA4 - 680 ;0.04
GA4 - 698 ;0.05
GA4 - 703 ;0.05
GA4 - 735 ;0.02
GA4 - 887 ;0.04
K1 - 171 ;0.06
K1 - 35 ;0.04
K1 - 402 ;0.04
K1 - 609 ;0.04
K1 - 680 ;0.04
K1 - 698 ;0.06
K1 - 703 ;0.04
K1 - 735 ;0.03
K1 - 887 ;0.03
K2 - 171 ;0.04
K2 - 35 ;0.05
K2 - 402 ;0.03
K2 - 609 ;0.03
K2 - 680 ;0.04
K2 - 698 ;0.05
K2 - 703 ;0.03
K2 - 735 ;0.03
K2 - 887 ;0.03
K3 - 171 ;0.03
K3 - 35 ;0.03
K3 - 402 ;0.04
K3 - 609 ;0.03
K3 - 680 ;0.03
K3 - 698 ;0.04
K3 - 703 ;0.02
K3 - 735 ;0.03
K3 - 887 ;0.03
K4 - 171 ;0.05
K4 - 35 ;0.03
K4 - 402 ;0.04
K4 - 609 ;0.03
K4 - 680 ;0.04
K4 - 698 ;0.05
K4 - 703 ;0.03
K4 - 735 ;0.03
K4 - 887 ;0.04
GA1 - 171 ;0.09
GA1 - 35 ;0.06
GA1 - 402 ;0.05
GA1 - 609 ;0.03
GA1 - 680 ;0.04
GA1 - 698 ;0.03
GA1 - 703 ;0.05
GA1 - 735 ;0.03
GA1 - 887 ;0.03
GA2 - 171 ;0.06
GA2 - 35 ;0.06
GA2 - 402 ;0.03
GA2 - 609 ;0.04
GA2 - 680 ;0.06
GA2 - 698 ;0.06
GA2 - 703 ;0.04
GA2 - 735 ;0.03
GA2 - 887 ;0.04
GA3 - 171 ;0.06
GA3 - 35 ;0.07
GA3 - 402 ;0.07
GA3 - 609 ;0.03
GA3 - 680 ;0.09
GA3 - 698 ;0.08
GA3 - 703 ;0.06
GA3 - 735 ;0.06
GA3 - 887 ;0.04
GA4 - 171 ;0.04
GA4 - 35 ;0.06
GA4 - 402 ;0.05
GA4 - 609 ;0.04
GA4 - 680 ;0.04
GA4 - 698 ;0.06
GA4 - 703 ;0.03
GA4 - 735 ;0.03
GA4 - 887 ;0.04
K1 - 171 ;0.04
K1 - 35 ;0.05
K1 - 402 ;0.04
K1 - 609 ;0.04
K1 - 680 ;0.06
K1 - 698 ;0.05
K1 - 703 ;0.04
K1 - 735 ;0.05
K1 - 887 ;0.03
K2 - 171 ;0.04
K2 - 35 ;0.06
K2 - 402 ;0.03
K2 - 609 ;0.05
K2 - 680 ;0.05
K2 - 698 ;0.09
K2 - 703 ;0.06
K2 - 735 ;0.03
K2 - 887 ;0.05
K3 - 171 ;0.04
K3 - 35 ;0.06
K3 - 402 ;0.05
K3 - 609 ;0.02
K3 - 680 ;0.04
K3 - 698 ;0.05
K3 - 703 ;0.04
K3 - 735 ;0.03
K3 - 887 ;0.02
K4 - 171 ;0.05
K4 - 35 ;0.04
K4 - 402 ;0.05
K4 - 609 ;0.04
K4 - 680 ;0.03
K4 - 698 ;0.06
K4 - 703 ;0.05
K4 - 735 ;0.03
K4 - 887 ;0.03
;
