Sample_Number;Sample_Name;GA4;GA1;GA7;GA3;GA5;GA34;GA8;ABA;JA;IAA;SA;DHZ;iP;tZ;Control;Hormone_Treated;Trip_Number
L305;GA3 - 887 - D;139.522;0.714;91.31;85.881;14.19;2.87;3.71;705.95;37.76;5.64;128.46;0.26;0.03;0.04;False;True;4
L306;GA4 - 887 - D;22.695;0.718;23.65;132.031;29.47;1.13;5.07;624.25;45.61;3.86;64.99;0.24;0.04;0.04;False;True;4
L307;K1 - 735 - D;1.833;0.849;2.17;78.223;18.66;0.45;7.95;1309.95;16.5;8.02;47.52;0.32;0.02;0.05;True;False;4
L308;K2 - 735 - D;0.888;0.718;2.03;94.13;29.23;0.21;11.25;1243.47;23.84;4.79;35.03;0.24;0.03;0.03;True;False;4
L309;K3 - 735 - D;0.399;0.799;2.22;104.265;43.88;0.16;11.39;1430.69;38.94;7.46;38.05;0.25;0.03;0.03;True;False;4
L310;K4 - 735 - D;3.001;0.65;1.66;58.658;17.3;0.4;6.85;2228.64;20.37;4.64;77.31;0.22;0.02;0.03;True;False;4
L311;GA1 - 735 - D;10.215;0.718;9.32;38.976;12.77;0.64;9.51;1769.17;32.11;3.13;49.99;0.18;0.02;0.03;False;True;4
L312;GA2 - 735 - D;3.584;0.397;4.09;38.659;14.95;0.37;7.78;3251.03;20.79;7.26;74.25;0.24;0.03;0.03;False;True;4
L313;GA3 - 735 - D;6.737;0.685;6.43;58.565;11.41;0.69;5.42;1020.08;43.87;4.31;33.75;0.29;0.01;0.06;False;True;4
L314;GA4 - 735 - D;70.167;1.074;23.07;55.695;18.93;3.49;9.68;1955.21;22.69;3.45;38.84;0.18;0.03;0.03;False;True;4
L315;K1 - 698 - D;1.455;0.733;3.15;68.751;12.47;0.06;4.81;1469.11;12.12;7.3;36.16;0.31;0.01;0.05;True;False;4
L316;K2 - 698 - D;2.058;0.905;4.01;51.807;10.55;0.07;5.25;1140.08;5.93;7.25;63.8;0.44;0.02;0.09;True;False;4
L317;K3 - 698 - D;0.775;0.886;3.32;63.328;11.02;;4.07;312.82;11.98;4.85;52.33;0.21;0.01;0.05;True;False;4
L318;K4 - 698 - D;2.441;0.773;1.53;47.57;9.25;;5.22;1088.93;19.78;5.81;55.2;0.29;0.02;0.06;True;False;4
L319;GA1 - 698 - D;3.664;0.719;5.01;54.146;10.48;0.04;4.55;1142.77;9.61;6.72;51.59;0.23;0.01;0.03;False;True;4
L320;GA2 - 698 - D;16.182;0.937;20.22;67.323;17.31;0.21;4.7;2094.37;17.54;9.38;42.29;0.52;0.03;0.06;False;True;4
L321;GA3 - 698 - D;57.31;1.601;57.65;53.113;10.35;0.13;5.0;563.19;21.78;6.93;46.69;0.34;0.02;0.08;False;True;4
L322;GA4 - 698 - D;1.655;0.874;0.47;65.381;8.58;0.04;6.16;1622.69;19.23;7.82;39.1;0.35;0.02;0.06;False;True;4
L323;K1 - 680 - D;0.697;0.822;0.92;109.888;28.52;0.94;7.24;510.5;14.3;4.24;127.41;0.31;0.03;0.06;True;False;4
L324;K2 - 680 - D;1.989;0.503;1.23;77.882;20.5;2.28;5.78;1477.16;5.64;13.12;188.92;0.23;0.04;0.05;True;False;4
L325;K3 - 680 - D;0.687;0.385;0.83;79.625;7.61;0.7;10.0;3235.87;14.48;14.83;308.23;0.19;0.03;0.04;True;False;4
L326;K4 - 680 - D;0.192;0.545;2.18;133.976;41.8;0.14;7.55;662.51;3.01;8.11;164.17;0.2;0.05;0.03;True;False;4
L327;GA1 - 680 - D;0.386;0.762;1.74;110.116;26.47;0.26;8.51;861.76;20.42;4.89;137.24;0.24;0.03;0.04;False;True;4
L328;GA2 - 680 - D;0.595;1.153;1.08;88.941;40.31;0.64;6.14;765.42;25.39;4.4;230.35;0.35;0.05;0.06;False;True;4
L329;GA3 - 680 - D;2.989;0.707;10.55;78.914;33.77;0.87;6.4;601.72;30.47;8.1;231.82;0.34;0.04;0.09;False;True;4
L330;GA4 - 680 - D;2.612;0.908;7.9;46.566;36.05;0.72;8.99;882.28;31.79;5.01;135.13;0.25;0.05;0.04;False;True;4
L331;K1 - 402 - D;0.202;1.02;2.79;34.797;35.6;0.08;10.58;886.09;13.74;5.04;42.94;0.2;0.03;0.04;True;False;4
L332;K2 - 402 - D;0.269;0.615;1.0;51.753;35.03;0.05;11.43;1220.29;12.14;10.93;65.3;0.16;0.01;0.03;True;False;4
L333;K3 - 402 - D;0.315;0.9;3.65;53.667;46.91;;9.75;1242.38;12.05;9.01;52.97;0.23;0.03;0.05;True;False;4
L334;K4 - 402 - D;0.099;0.996;1.81;39.885;23.38;0.03;8.09;279.27;18.03;6.11;46.71;0.21;0.01;0.05;True;False;4
L335;GA1 - 402 - D;4.288;1.422;1.39;43.622;22.88;0.08;9.61;522.42;24.22;5.13;59.7;0.25;0.02;0.05;False;True;4
L336;GA2 - 402 - D;1.797;1.189;3.12;48.071;36.54;0.09;9.39;746.49;34.92;8.16;26.99;0.12;0.01;0.03;False;True;4
L337;GA3 - 402 - D;0.383;0.488;0.92;40.387;13.68;0.04;9.08;1190.16;14.89;19.24;92.8;0.27;0.01;0.07;False;True;4
L338;GA4 - 402 - D;2.079;0.697;2.1;25.505;14.94;0.14;13.83;2141.02;13.91;16.7;146.98;0.28;0.02;0.05;False;True;4
L339;K1 - 171 - D;0.736;0.799;2.5;50.676;22.22;0.08;7.83;430.95;1.95;7.53;56.26;0.17;0.04;0.04;True;False;4
L340;K2 - 171 - D;0.181;0.674;0.61;48.048;22.61;0.17;5.5;1839.36;9.38;10.93;59.46;0.14;0.04;0.04;True;False;4
L341;K3 - 171 - D;0.813;0.391;1.65;37.58;22.45;0.12;11.45;2732.56;0.66;4.22;167.93;0.19;0.03;0.04;True;False;4
L342;K4 - 171 - D;0.34;1.17;0.95;40.687;17.92;0.07;6.19;1057.66;19.23;15.39;65.01;0.18;0.04;0.05;True;False;4
L343;GA1 - 171 - D;28.089;1.31;1.07;45.41;22.32;0.41;5.69;482.77;14.89;16.68;55.71;0.22;0.04;0.09;False;True;4
L344;GA2 - 171 - D;2.25;1.127;2.36;39.545;14.2;0.05;7.06;705.1;20.73;11.11;48.82;0.19;0.04;0.06;False;True;4
